eqp_id,age_id,descricao,instalacao_de,instalacao_para
ACAL--0RB--1,ELA,LT 69 kV ALTO ALEGRE / RIO BRANCO I C 1 AC,ACAA,ACRB
ACAL--0SN--1,ELA,LT 69 kV ALTO ALEGRE / SENA MADUREIRA C 1 AC,ACAA,ACSN
ACAL--0TG--1,ELA,LT 69 kV ALTO ALEGRE / TANGARA C 1 AC,ACAA,ACTG
ACCS--2FJ--1,ZOP,LT 230 kV CRUZEIRO SUL / FEIJO C 1 AC,ACCS,ACFJ
ACFJ--2RB--1,ZOP,LT 230 kV FEIJO / RIO BRANCO I C 1 AC,ACFJ,ACRB
ACFL--0RB--1,ELA,LT 69 kV FLORESTA / RIO BRANCO I C 1 AC,ACFL,ACRB
ACFL--0TG--1,ELA,LT 69 kV FLORESTA / TANGARA C 1 AC,ACFL,ACTG
ACFL--0TQ--1,ELA,LT 69 kV FLORESTA / TAQUARI C 1 AC,ACFL,ACTQ
ACFL--0TUC-1,ELA,LT 69 kV FLORESTA / TUCUMA C 1 AC,ACFL,ACTC
ACRB--0TG--1,G20,LT 69 kV RIO BRANCO I / TANGARA C 1 AC,ACRB,ACTG
ACRB--2TUC-1,ENT,LT 230 kV RIO BRANCO I / TUCUMA C 1 AC,ACRB,ACTC
ACTG--0TUC-1,ELA,LT 69 kV TANGARA / TUCUMA C 1 AC,ACTG,ACTC
ACTQ--0RB--1,ELA,LT 69 kV TAQUARI / RIO BRANCO I C 1 AC,ACTQ,ACRB
ALART-2PEN-1,CHF,LT 230 kV ARAPIRACA III / PENEDO C S9 AL,ALART,ALPEN
ALART-2RLD-1,CHF,LT 230 kV ARAPIRACA III / RIO LARGO II C F1 AL,ALART,ALRLD
ALIPA-0MCD-1,CAL,LT 69 kV IPIOCA / MACEIO II C J5 AL,ALIPA,ALMCD
ALIPA-0SLQE1,CAL,LT 69 kV IPIOCA / S LUIZ QUITUNDE C L1 AL,ALIPA,ALSLQE
ALMCO-0TBM-1,CAL,LT 69 kV MACEIO / SEC TAB.MARTINS C L1 AL,ALMCO,ALTBM
ALMCO-0TBM-2,CAL,LT 69 kV MACEIO / SEC TAB.MARTINS C L2 AL,ALMCO,ALTBM
ALMCO-0TBM-3,CAL,LT 69 kV MACEIO / SEC TAB.MARTINS C L3 AL,ALMCO,ALTBM
ALMCO-0TBM-4,CAL,LT 69 kV MACEIO / SEC TAB.MARTINS C L4 AL,ALMCO,ALTBM
ALMSI-2MCD-1,CHF,LT 230 kV MESSIAS / MACEIO II C M1 AL,ALMSI,ALMCD
ALMSI-2MCD-2,CHF,LT 230 kV MESSIAS / MACEIO II C M2 AL,ALMSI,ALMCD
ALMSI-2MCO-1,CHF,LT 230 kV MESSIAS / MACEIO C S6 AL,ALMSI,ALMCO
ALMSI-2MCO-2,CHF,LT 230 kV MESSIAS / MACEIO C S7 AL,ALMSI,ALMCO
ALMSI-2RLD-1,CHF,LT 230 kV MESSIAS / RIO LARGO II C S3 AL,ALMSI,ALRLD
