ins_id,nome,descricao
PBUCG,UT.CAM.GRANDE,USI CAMPINA GRANDE PB
MTATAQ,ALTO TAQUARI,USI UTE ALTO TAQUARI MT
GOMVER,MORR.VERMELHO,USI UTE MORRO VERMELHO GO
GOAEME,AGUA EMENDADA,USI UTE AGUA EMENDADA GO
SPQUE1,PCH QUELUZ,USI PCH QUELUZ SP
RSSCH2,SCHARLAU 2,SUB SCHARLAU 2 RS
ESUTLI,LUIZ O R MELO,USI UTE LUIZ OSCAR RODRIGUES DE MELO ES
MSSLU2,SANTA LUZIA 2,SUB SANTA LUZIA II MS
RSCDL2,CANDELARIA 2,SUB CANDELARIA 2 RS
PRUMU2,UMUARAMA SUL,SUB UMUARAMA SUL PR
PABM,BELO MONTE,USI BELO MONTE PA
MGSLA4,SETE LAGOAS 4,SUB SETE LAGOAS 4 MG
PEMFDS,MASTERFOODS,SUB MASTERFOODS - ENTRADA 1 PE
RNGMR,GUAMARE,SUB GUAMARE RN
SCIBR,IBIRAMA,SUB IBIRAMA SC
PERCSR,RIAC SHOP REC,SUB LOJAS RIACHUELO SHOPPING RECIFE PE
SPCPJA,CPTM JANDIRA,SUB CPTM JANDIRA SP
SPUNIP,UNIPAC EMBAL.,SUB UNIPAC EMBALAGENS SP
SPMDPL,MD PAPEIS LIM,SUB MD PAPEIS LIMEIRA SP
MGITAM,ITAMINAS,SUB ITAMINAS COMERCIO DE MINERIO MG
SPFRPE,FRIBOI PR EPI,SUB JBS FRIBOI PRESIDENTE EPITACIO SP
PRSTTL,SHOPPINGTOTAL,SUB SHOPPING TOTAL PR
SPMFG2,MARFRIG 2,SUB MARFRIG 2 CERPRO SP
MTFRAF,FRIBOI A FLO,SUB FRIBOI ALTA FLORESTA MT
SCBRFL,BR FOODSLAGES,SUB BRASIL FOODS LAGES SC
SPBOT2,AGUA BRANCA,SUB AGUA BRANCA BOITUVA 2 SP
PEPTRC,CER. P. RICO,SUB CERAMICA PORTO RICO PE
RSCAGR,CF GRAVATAI,SUB CARREFOUR - GRAVATAI RS
MGASJA,UTE ASJA BH,USI UTE ASJA BH MG
MGRIBT,RIETER BETIM,SUB RIETER AUTOMOTIVE UNIDADE BETIM MG
MGSGFL,MATEUS LEME,SUB MATEUS LEME MG
CEFRCE,FRIOCEARA,SUB FRIOCEARA ARMAZENS FRIGORIFICOS CE
MTMMPN,MM PONTE NOVA,SUB MERCADO MODELO PONTE NOVA MT
RJLUM,LUMIAR TERES.,SUB LUMIAR - LT TERESOPOLIS RJ
MTMMPS,MM PANTANAL S,SUB MERCADO MODELO PANTANAL SHOPPING MT
